TIME,AMPLITUDE
10968,0.867046246
10970,0.908928285
10972,0.18775047
10974,-0.691135902
10976,-0.989594446
10978,-0.456534284
10980,0.460283388
10982,0.990232752
10984,0.687384977
10986,-0.193773704
10988,-0.91198155
10990,-0.862521
10992,-0.086752476
10994,0.762196298
10996,0.968997626
10998,0.359089857
11000,-0.553655576
11002,-0.999555514
11004,-0.602225009
11006,0.303376593
11008,0.952987011
11010,0.797922055
11012,-0.031153943
11014,-0.8339646
11016,-0.932023312
11018,-0.242050063
11020,0.65266452
11022,0.995380052
11024,0.495731799
11026,-0.42356418
11028,-0.984362457
11030,-0.711364817
11032,0.164345727
11034,0.900933209
11036,0.873748598
11038,0.105551816
11040,-0.752240024
11042,-0.971798553
11044,-0.366415987
11046,0.550137767
11048,0.999538199
11050,0.599696226
11052,-0.309855743
11054,-0.956101458
11056,-0.789289253
11058,0.048971916
11060,0.845673247
11062,0.922590208
11064,0.213953283
11066,-0.677010516
11068,-0.99124769
11070,-0.460708905
11072,0.462664921
11074,0.991573687
11076,0.674678633
11078,-0.217978564
11080,-0.924648135
11082,-0.841917306
11084,-0.040064522
11086,0.796069057
11088,0.951994222
11090,0.294043991
11092,-0.615382743
11094,-0.998564215
11096,-0.527362061
11098,0.395313416
11100,0.979589042
11102,0.724973878
11104,-0.150807169
11106,-0.897409196
11108,-0.874818983
11110,-0.102023645
11112,0.758334917
11114,0.968139105
11116,0.346980411
11118,-0.572118265
11120,-0.999998162
11122,-0.568811053
11124,0.351202991
11126,0.969446082
11128,0.754194975
11130,-0.109841041
11132,-0.879423312
11134,-0.892230694
11136,-0.136860389
11138,0.73642753
11140,0.975428293
11142,0.373986237
11144,-0.549897559
11146,-0.999739682
11148,-0.587350812
11150,0.331829935
11152,0.964741357
11154,0.764858545
11156,-0.095536123
11158,-0.873515343
11160,-0.896773777
11162,-0.144928346
11164,0.732327928
11166,0.976286784
11168,0.375675031
11170,-0.550137767
11172,-0.999789534
11174,-0.583775798
11176,0.337882629
11178,0.966952032
11180,0.757959811
11182,-0.108125592
11184,-0.880607214
11186,-0.88922386
11188,-0.126215877
11190,0.746399179
11192,0.971047618
11194,0.352279957
11196,-0.572589968
11198,-0.999961942
11200,-0.558038976
11202,0.369179747
11204,0.97538603
11206,0.732915225
11208,-0.14748912
11210,-0.899597606
11212,-0.868333048
11214,-0.080542529
11216,0.777491767
11218,0.957881494
11220,0.303011149
11222,-0.616213675
11224,-0.997888085
11226,-0.508747606
11228,0.424606085
11230,0.987255686
11232,0.687524229
11234,-0.213016648
11236,-0.927470105
11238,-0.831043251
11240,-0.0077657
11242,0.82241369
11244,0.932923773
11246,0.22676502
11248,-0.678068224
11250,-0.989021216
11252,-0.43343945
11254,0.502046652
11256,0.997531694
11258,0.618174972
11260,-0.303467947
11262,-0.958948523
11264,-0.77276711
11266,0.092004424
11268,0.876023861
11270,0.89049235
11272,0.122315522
11274,-0.753439009
11276,-0.966756197
11278,-0.329658463
11280,0.597545883
11282,0.998932454
11284,0.520911792
11286,-0.415993685
11288,-0.986465752
